"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TKZIMZL7","journalArticle","2021","Li, Yuguo; Qian, Hua; Hang, Jian; Chen, Xuguang; Cheng, Pan; Ling, Hong; Wang, Shengqi; Liang, Peng; Li, Jiansen; Xiao, Shenglan; Wei, Jianjian; Liu, Li; Cowling, Benjamin J.; Kang, Min","Probable airborne transmission of SARS-CoV-2 in a poorly ventilated restaurant","Building and Environment","","0360-1323","10.1016/j.buildenv.2021.107788","https://www.sciencedirect.com/science/article/pii/S0360132321001955","Although airborne transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been recognized, the condition of ventilation for its occurrence is still being debated. We analyzed a coronavirus disease 2019 (COVID-19) outbreak involving three families in a restaurant in Guangzhou, China, assessed the possibility of airborne transmission, and characterized the associated environmental conditions. We collected epidemiological data, obtained a full video recording and seating records from the restaurant, and measured the dispersion of a warm tracer gas as a surrogate for exhaled droplets from the index case. Computer simulations were performed to simulate the spread of fine exhaled droplets. We compared the in-room location of subsequently infected cases and spread of the simulated virus-laden aerosol tracer. The ventilation rate was measured using the tracer gas concentration decay method. This outbreak involved ten infected persons in three families (A, B, C). All ten persons ate lunch at three neighboring tables at the same restaurant on January 24, 2020. None of the restaurant staff or the 68 patrons at the other 15 tables became infected. During this occasion, the measured ventilation rate was 0.9 L/s per person. No close contact or fomite contact was identified, aside from back-to-back sitting in some cases. Analysis of the airflow dynamics indicates that the infection distribution is consistent with a spread pattern representative of long-range transmission of exhaled virus-laden aerosols. Airborne transmission of the SARS-CoV-2 virus is possible in crowded space with a ventilation rate of 1 L/s per person.","2021-06-01","2021-04-23 23:00:01","2021-11-12 20:03:18","2021-04-23 23:00:01","107788","","","196","","Building and Environment","","","","","","","","en","","","","","ScienceDirect","","","","/Users/jodi/Zotero/storage/PPGX835H/Li et al. - 2021 - Probable airborne transmission of SARS-CoV-2 in a .pdf","","China; COVID-19; Coronavirus; SARS-CoV-2; disease transmission; Aerosol transmission; Airborne transmission; Building ventilation; Coronaviruses; ventilation; Ventilation; Ventilation rate; Aerosols; aerosol; Severe acute respiratory syndrome coronavirus 2; concentration (composition); Drops; SARS coronavirus; building; Building ventilations; Condition; Coronavirus disease 2019; disease spread; Guangdong; Guangzhou; Severe acute respiratory syndrome coronavirus; Tracer gas; Transmissions; Video recording; Viruses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CZQEECS","journalArticle","2020","Lednicky, J.A.; Lauzard, M.; Fan, Z.H.; Jutla, A.; Tilly, T.B.; Gangwar, M.; Usmani, M.; Shankar, S.N.; Mohamed, K.; Eiguren-Fernandez, A.; Stephenson, C.J.; Alam, M.M.; Elbadry, M.A.; Loeb, J.C.; Subramaniam, K.; Waltzek, T.B.; Cherabuddi, K.; Morris, J.G., Jr.; Wu, C.-Y.","Viable SARS-CoV-2 in the air of a hospital room with COVID-19 patients","International Journal of Infectious Diseases","","12019712 (ISSN)","10.1016/j.ijid.2020.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092359302&doi=10.1016%2fj.ijid.2020.09.025&partnerID=40&md5=5c7e446c88d684562151d68344d7e4ba","Objectives: Because the detection of SARS-CoV-2 RNA in aerosols but failure to isolate viable (infectious) virus are commonly reported, there is substantial controversy whether severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) can be transmitted through aerosols. This conundrum occurs because common air samplers can inactivate virions through their harsh collection processes. We sought to resolve the question whether viable SARS-CoV-2 can occur in aerosols using VIVAS air samplers that operate on a gentle water vapor condensation principle. Methods: Air samples collected in the hospital room of two coronavirus disease-2019 (COVID-19) patients, one ready for discharge and the other newly admitted, were subjected to RT-qPCR and virus culture. The genomes of the SARS-CoV-2 collected from the air and isolated in cell culture were sequenced. Results: Viable SARS-CoV-2 was isolated from air samples collected 2 to 4.8 m away from the patients. The genome sequence of the SARS-CoV-2 strain isolated from the material collected by the air samplers was identical to that isolated from the newly admitted patient. Estimates of viable viral concentrations ranged from 6 to 74 TCID50 units/L of air. Conclusions: Patients with respiratory manifestations of COVID-19 produce aerosols in the absence of aerosol-generating procedures that contain viable SARS-CoV-2, and these aerosols may serve as a source of transmission of the virus. © 2020 The Author(s)","2020","2021-11-01 22:17:13","2021-11-12 20:03:01","","476-482","","","100","","","","","","","","","","","","","Scopus","","","","Publisher: Elsevier B.V.","","","","human; controlled study; hospital discharge; nonhuman; ambient air; hospital admission; hospital; Humans; Hospitals; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; pandemic; Article; microbiology; Aerosols; Air Microbiology; aerosol; air sampling; animal cell; consensus sequence; coronavirus disease 2019; Coronavirus infection; genomic RNA; high throughput sequencing; isolation and purification; LLC-MK2 cell line; nucleotide sequence; real time reverse transcription polymerase chain reaction; Sanger sequencing; Severe acute respiratory syndrome coronavirus 2; teaching hospital; university hospital; Vero C1008 cell line; virology; virus concentration; virus culture; virus detection; virus genome; virus pneumonia; virus RNA; virus strain; virus viability; water vapor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDDPUENT","journalArticle","2002","Wargocki, P.; Sundell, J.; Bischof, W.; Brundrett, G.; Fanger, P.O.; Gyntelberg, F.; Hanssen, S.O.; Harrison, P.; Pickering, A.; Seppänen, O.; Wouters, P.","Ventilation and health in non-industrial indoor environments: Report from a European Multidisciplinary Scientific Consensus Meeting (EUROVEN)","Indoor Air","","09056947 (ISSN)","10.1034/j.1600-0668.2002.01145.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442480899&doi=10.1034%2fj.1600-0668.2002.01145.x&partnerID=40&md5=c0b6ed2463c0307b6df175c827542d72","Scientific literature on the effects of ventilation on health, comfort, and productivity in non-industrial indoor environments (offices, schools, homes, etc.) has been reviewed by a multidisciplinary group of European scientists, called EUROVEN, with expertise in medicine, epidemiology, toxicology, and engineering. The group reviewed 105 papers published in peer-reviewed scientific journals and judged 30 as conclusive, providing sufficient information on ventilation, health effects, data processing, and reporting, 14 as providing relevant background information on the issue, 43 as relevant but non-informative or inconclusive, and 18 as irrelevant for the issue discussed. Based on the data in papers judged conclusive, the group agreed that ventilation is strongly associated with comfort (perceived air quality) and health [Sick Building Syndrome (SBS) symptoms, inflammation, infections, asthma, allergy, short-term sick leave], and that an association between ventilation and productivity (performance of office work) is indicated. The group also concluded that increasing outdoor air supply rates in non-industrial environments improves perceived air quality; that outdoor air supply rates below 25 l/s per person increase the risk of SBS symptoms, increase short-term sick leave, and decrease productivity among occupants of office buildings; and that ventilation rates above 0.5 air changes per hour (h-1) in homes reduce infestation of house dust mites in Nordic countries. The group concluded additionally that the literature indicates that in buildings with air-conditioning systems there may be an increased risk of SBS symptoms compared with naturally or mechanically ventilated buildings, and that improper maintenance, design, and functioning of air-conditioning systems contributes to increased prevalence of SBS symptoms. Copyright © Blackwell Munksgaard 2002.","2002","2021-11-01 22:17:12","2021-11-12 19:55:11","","113-128","","2","12","","","","","","","","","","","","","Scopus","","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/12216467","human; employment; consensus development; risk assessment; health status; quality control; medical leave; Europe; conference paper; Humans; Quality Control; Employment; Risk Assessment; Health; Schools; Interprofessional Relations; Environmental Exposure; Health Status; Task Performance and Analysis; public relations; Air Pollution, Indoor; Ventilation; Sick Building Syndrome; Sick Leave; air conditioning; Astigmata; bioengineering; Dermatophagoides; environmental exposure; EUROVEN; Homes; Human Engineering; indoor air pollution; Non-industrial indoor environments; Offices; Outdoor air supply rate; Pyroglyphidae; sick building syndrome; task performance; Ventilation system","Ergonomics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GSRN8FD","journalArticle","2020","Zhu, S.; Jenkins, S.; Addo, K.; Heidarinejad, M.; Romo, S.A.; Layne, A.; Ehizibolo, J.; Dalgo, D.; Mattise, N.W.; Hong, F.; Adenaiye, O.O.; Bueno de Mesquita, J.P.; Albert, B.J.; Washington-Lewis, R.; German, J.; Tai, S.; Youssefi, S.; Milton, D.K.; Srebric, J.","Ventilation and laboratory confirmed acute respiratory infection (ARI) rates in college residence halls in College Park, Maryland","Environment International","","01604120 (ISSN)","10.1016/j.envint.2020.105537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078757276&doi=10.1016%2fj.envint.2020.105537&partnerID=40&md5=25327408b2dc205001f8360f8956c30c","Strategies to protect building occupants from the risk of acute respiratory infection (ARI) need to consider ventilation for its ability to dilute and remove indoor bioaerosols. Prior studies have described an association of increased self-reported colds and influenza-like symptoms with low ventilation but have not combined rigorous characterization of ventilation with assessment of laboratory confirmed infections. We report a study designed to fill this gap. We followed laboratory confirmed ARI rates and measured CO2 concentrations for four months during the winter-spring of 2018 in two campus residence halls: (1) a high ventilation building (HVB) with a dedicated outdoor air system that supplies 100% of outside air to each dormitory room, and (2) a low ventilation building (LVB) that relies on infiltration as ventilation. We enrolled 11 volunteers for a total of 522 person-days in the HVB and 109 volunteers for 6069 person-days in the LVB, and tested upper-respiratory swabs from symptomatic cases and their close contacts for the presence of 44 pathogens using a molecular assay. We observed one ARI case in the HVB (0.70/person-year) and 47 in the LVB (2.83/person-year). Simultaneously, 154 CO2 sensors distributed primarily in the dormitory rooms collected 668,390 useful data points from over 1 million recorded data points. Average and standard deviation of CO2 concentrations were 1230 ppm and 408 ppm in the HVB, and 1492 ppm and 837 ppm in the LVB, respectively. Importantly, this study developed and calibrated multi-zone models for the HVB with 229 zones and 983 airflow paths, and for the LVB with 529 zones and 1836 airflow paths by using a subset of CO2 data for model calibration. The models were used to calculate ventilation rates in the two buildings and potential for viral aerosol migration between rooms in the LVB. With doors and windows closed, the average ventilation rate was 12 L/s in the HVB dormitory rooms and 4 L/s in the LVB dormitory rooms. As a result, residents had on average 6.6 L/(s person) of outside air in the HVB and 2.3 L/(s person) in the LVB. LVB rooms located at the leeward side of the building had smaller average ventilation rates, as well as a somewhat higher ARI incidence rate and average CO2 concentrations when compared to those values in the rooms located at the windward side of the building. Average ventilation rates in twenty LVB dormitory rooms increased from 2.3 L/s to 7.5 L/s by opening windows, 3.6 L/s by opening doors, and 8.8 L/s by opening both windows and doors. Therefore, opening both windows and doors in the LVB dormitory rooms can increase ventilation rates to the levels comparable to those in the HVB. But it can also have a negative effect on thermal comfort due to low outdoor temperatures. Simulation results identified an aerobiologic pathway from a room occupied by an index case of influenza A to a room occupied by a possible secondary case. © 2020 The Authors","2020","2021-11-01 22:17:12","2021-11-12 19:54:38","","","","","137","","","","","","","","","","","","","Scopus","","","","Publisher: Elsevier Ltd","","/Users/jodi/Zotero/storage/MI9VHRUP/Zhu et al. - 2020 - Ventilation and laboratory confirmed acute respira.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32028176","adult; female; human; major clinical study; male; incidence; priority journal; controlled study; United States; nonhuman; young adult; influenza; disease control; laboratory test; Students; biological marker; study design; student; exposure; Humans; Male; Female; Young Adult; Universities; Temperature; Maryland; disease transmission; Article; infectious disease; ventilation; Acute Respiratory Infection (ARI); Air Pollution, Indoor; Airborne infection control; College dormitory rooms; Housing; Infectious bioaerosols; Multi-zone model; Respiratory Tract Infections; Ventilation; Ventilation rate; Aerosols; virus concentration; air conditioning; indoor air pollution; air temperature; Airborne infection; Bioaerosols; carbon dioxide; Carbon dioxide; college student; concentration (composition); disease incidence; Doors; housing; indoor air; infection rate; Influenza A virus; lung ventilation; Multi-zone models; respiratory airflow; respiratory disease; respiratory tract infection; School buildings; seasonal variation; temperature; university; university sector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFSSBKRA","journalArticle","2020","Bourouiba, L.","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19","JAMA - Journal of the American Medical Association","","00987484 (ISSN)","10.1001/jama.2020.4756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082406580&doi=10.1001%2fjama.2020.4756&partnerID=40&md5=21907ffccfbfb77105748c53c29a7e74","","2020","2021-11-01 22:17:12","2021-11-12 20:00:39","","1837-1838","","18","323","","","","","","","","","","","","","Scopus","","","","Publisher: American Medical Association","","/Users/jodi/Zotero/storage/IUSJBEFA/Bourouiba - 2020 - Turbulent Gas Clouds and Respiratory Pathogen Emis.pdf; /Users/jodi/Zotero/storage/BE52ZP8R/Bourouiba - 2020 - Turbulent Gas Clouds and Respiratory Pathogen Emis.pdf; /Users/jodi/Zotero/storage/9V5T56PG/2763852.html; /Users/jodi/Zotero/storage/87UTCNND/2763852.html","","human; practice guideline; priority journal; nonhuman; ambient air; coughing; risk management; travel; health care policy; infection risk; infection prevention; history; health care personnel; Humans; History, 20th Century; Masks; Pandemics; Pneumonia, Viral; Health Personnel; Betacoronavirus; Coronavirus Infections; Social Isolation; World Health Organization; climate; pandemic; disease transmission; Short Survey; Disease Transmission, Infectious; Cough; Exhalation; History, 19th Century; aerosol; coronavirus disease 2019; Coronavirus infection; isolation and purification; Severe acute respiratory syndrome coronavirus 2; virus pneumonia; respiratory airflow; Biophysical Phenomena; biophysics; exhalation; gas; gas flow; Gases; infection control; infection sensitivity; mask; occupational disease; Occupational Diseases; quarantine; sneezing; Sneezing; social isolation; turbulent flow; virus cell interaction; virus transmission","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP5RIFQT","journalArticle","2020","Halfmann, P.J.; Hatta, M.; Chiba, S.; Maemura, T.; Fan, S.; Takeda, M.; Kinoshita, N.; Hattori, S.-I.; Sakai-Tagawa, Y.; Iwatsuki-Horimoto, K.; Imai, M.; Kawaoka, Y.","Transmission of SARS-CoV-2 in Domestic Cats","The New England journal of medicine","","15334406 (ISSN)","10.1056/NEJMc2013400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086583521&doi=10.1056%2fNEJMc2013400&partnerID=40&md5=aa4ea6174e5cef5aa7e158e7035fc105","","2020","2021-11-01 22:17:11","2021-11-12 20:02:11","","592-594","","6","383","","","","","","","","","","","","","Scopus","","","","Publisher: NLM (Medline)","","","","Animals; Pandemics; Pneumonia, Viral; Betacoronavirus; Coronavirus Infections; Antibodies, Viral; pandemic; Coronavirus infection; virology; virus pneumonia; animal; blood; cat; Cats; Chlorocebus aethiops; immunoglobulin G; Immunoglobulin G; Vero cell line; Vero Cells; veterinary medicine; virus antibody; virus shedding; Virus Shedding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9X54TKAS","journalArticle","2005","Nicas, M.; Nazaroff, W.W.; Hubbard, A.","Toward understanding the risk of secondary airborne infection: Emission of respirable pathogens","Journal of Occupational and Environmental Hygiene","","15459624 (ISSN)","10.1080/15459620590918466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-15444370103&doi=10.1080%2f15459620590918466&partnerID=40&md5=19ff883c33911853b3dbb08c5a186816","Certain respiratory tract infections are transmitted through air. Coughing and sneezing by an infected person can emit pathogen-containing particles with diameters less than 10 μm that can reach the alveolar region. Based on our analysis of the sparse literature on respiratory aerosols, we estimated that emitted particles quickly decrease in diameter due to water loss to one-half the initial values, and that in one cough the volume in particles with initial diameters less than 20 μm is 6 × 10-8 mL. The pathogen emission rate from a source case depends on the frequency of expiratory events, the respirable particle volume, and the pathogen concentration in respiratory fluid. Viable airborne pathogens are removed by exhaust ventilation, particle settling, die-off, and air disinfection methods; each removal mechanism can be assigned a first-order rate constant. The pathogen concentration in well-mixed room air depends on the emission rate, the size distribution of respirable particles carrying pathogens, and the removal rate constants. The particle settling rate and the alveolar deposition fraction depend on particle size. Given these inputs plus a susceptible person's breathing rate and exposure duration to room air, an expected alveolar dose μ is estimated. If the infectious dose is one organism, as appears to be true for tuberculosis, infection risk is estimated by the expression: R = I- exp(-μ). Using published tuberculosis data concerning cough frequency, bacilli concentration in respiratory fluid, and die-off rate, we illustrate the model via a plausible scenario for a person visiting the room of a pulmonary tuberculosis case. We suggest that patients termed ""superspreaders"" or ""dangerous disseminators"" are those infrequently encountered persons with high values of cough and/or sneeze frequency, elevated pathogen concentration in respiratory fluid, and/or increased respirable aerosol volume per expiratory event such that their pathogen emission rate is much higher than average. Copyright © 2005 JOEH, LLC.","2005","2021-11-01 22:17:11","2021-11-12 20:04:54","","143-154","","3","2","","","","","","","","","","","","","Scopus","","","","","","/Users/jodi/Zotero/storage/WE63BVVE/Nicas et al. - 2005 - Toward understanding the risk of secondary airborn.pdf; /Users/jodi/Zotero/storage/DGKKD54V/Nicas et al. - 2005 - Toward understanding the risk of secondary airborn.pdf; ; ","http://www.ncbi.nlm.nih.gov/pubmed/15764538; http://www.ncbi.nlm.nih.gov/pubmed/15764538","article; human; priority journal; model; ambient air; breathing rate; coughing; risk; water; infection risk; Humans; Risk Factors; Risk Assessment; disease transmission; Aerosols; Cough; Inhalation Exposure; Models, Theoretical; Particle Size; Pulmonary Alveoli; Tuberculosis, Pulmonary; aerosol; Airborne infection; respiratory tract infection; temperature; sneezing; airborne infection; airborne particle; calculation; chloride ion; desiccation; glycoprotein; humidity; kinetics; lactic acid; mucus; particle size; potassium ion; Respiratory aerosol; sodium ion; tuberculosis; Tuberculosis transmission; water loss","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8X2JKUEC","journalArticle","2021","Miller, S.L.; Nazaroff, W.W.; Jimenez, J.L.; Boerstra, A.; Buonanno, G.; Dancer, S.J.; Kurnitski, J.; Marr, L.C.; Morawska, L.; Noakes, C.","Transmission of SARS-CoV-2 by inhalation of respiratory aerosol in the Skagit Valley Chorale superspreading event","Indoor Air","","09056947 (ISSN)","10.1111/ina.12751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092413509&doi=10.1111%2fina.12751&partnerID=40&md5=f3e076df7339d069c92b7af6f0967fcc","During the 2020 COVID-19 pandemic, an outbreak occurred following attendance of a symptomatic index case at a weekly rehearsal on 10 March of the Skagit Valley Chorale (SVC). After that rehearsal, 53 members of the SVC among 61 in attendance were confirmed or strongly suspected to have contracted COVID-19 and two died. Transmission by the aerosol route is likely; it appears unlikely that either fomite or ballistic droplet transmission could explain a substantial fraction of the cases. It is vital to identify features of cases such as this to better understand the factors that promote superspreading events. Based on a conditional assumption that transmission during this outbreak was dominated by inhalation of respiratory aerosol generated by one index case, we use the available evidence to infer the emission rate of aerosol infectious quanta. We explore how the risk of infection would vary with several influential factors: ventilation rate, duration of event, and deposition onto surfaces. The results indicate a best-estimate emission rate of 970 ± 390 quanta/h. Infection risk would be reduced by a factor of two by increasing the aerosol loss rate to 5 h−1 and shortening the event duration from 2.5 to 1 h. © 2020 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","2021","2021-11-01 22:17:11","2021-11-12 20:04:24","","314-323","","2","31","","","","","","","","","","","","","Scopus","","","","Publisher: Blackwell Munksgaard","","/Users/jodi/Zotero/storage/3JAM83EJ/Miller et al. - 2021 - Transmission of SARS-CoV-2 by inhalation of respir.pdf; /Users/jodi/Zotero/storage/DGV958U5/Miller et al. - 2021 - Transmission of SARS-CoV-2 by inhalation of respir.pdf; /Users/jodi/Zotero/storage/6G3BF9AX/ina.html; /Users/jodi/Zotero/storage/UXDQV5IB/ina.html","","human; risk; epidemiology; Humans; Time Factors; Washington; COVID-19; SARS-CoV-2; procedures; pandemic; infectious disease; time factor; aerosol transmission; ventilation; virus; Ventilation; virology; air conditioning; fomite; Fomites; singing; Singing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AE8C3PX","journalArticle","2017","Liu, L.; Li, Y.; Nielsen, P.V.; Wei, J.; Jensen, R.L.","Short-range airborne transmission of expiratory droplets between two people","Indoor Air","","09056947 (ISSN)","10.1111/ina.12314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978998454&doi=10.1111%2fina.12314&partnerID=40&md5=83cc2dc46818c9faa6bba51a0ff22ac1","The occurrence of close proximity infection for many respiratory diseases is often cited as evidence of large droplet and/or close contact transmission. We explored interpersonal exposure of exhaled droplets and droplet nuclei of two standing thermal manikins as affected by distance, humidity, ventilation, and breathing mode. Under the specific set of conditions studied, we found a substantial increase in airborne exposure to droplet nuclei exhaled by the source manikin when a susceptible manikin is within about 1.5 m of the source manikin, referred to as the proximity effect. The threshold distance of about 1.5 m distinguishes the two basic transmission processes of droplets and droplet nuclei, that is, short-range modes and the long-range airborne route. The short-range modes include both the conventional large droplet route and the newly defined short-range airborne transmission. We thus reveal that transmission occurring in close proximity to the source patient includes both droplet-borne (large droplet) and short-range airborne routes, in addition to the direct deposition of large droplets on other body surfaces. The mechanisms of the droplet-borne and short-range airborne routes are different; their effective control methods also differ. Neither the current droplet precautions nor dilution ventilation prevents short-range airborne transmission, so new control methods are needed. © 2016 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","2017","2021-11-01 22:17:10","2021-11-12 20:03:25","","452-462","","2","27","","","","","","","","","","","","","Scopus","","","","Publisher: Blackwell Munksgaard","","; ","http://www.ncbi.nlm.nih.gov/pubmed/27287598; http://www.ncbi.nlm.nih.gov/pubmed/27287598","human; analysis; exposure; Humans; Infection Control; procedures; microbiology; Respiratory Tract Infections; Ventilation; Air Microbiology; Inhalation Exposure; Air Movements; Bodily Secretions; Breath Tests; building ventilation; Exhalation; Humidity; interpersonal exposure; large droplet transmission; Manikins; respiratory infection; short-range airborne route; transmission; air conditioning; respiratory tract infection; exhalation; infection control; humidity; air; bodily secretions; breath analysis; manikin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49AUBUZX","journalArticle","1990","Callow, K.A.; Parry, H.F.; Sergeant, M.; Tyrrell, D.A.J.","The time course of the immune response to experimental coronavirus infection of man","Epidemiology and Infection","","09502688 (ISSN)","10.1017/S0950268800048019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025200502&doi=10.1017%2fS0950268800048019&partnerID=40&md5=2d830ccfe32b3bbba4556d4de84e781a","After preliminary trials, the detailed changes in the concentration of specific circulating and local antibodies were followed in 15 volunteers inoculated with coronavirus 229E. Ten of them, who had significantly lower concentrations of pre-existing antibody than the rest, became infected and eight of these developed colds. A limited investigation of circulating lymphocyte populations showed some lymphocytopenia in infected volunteers. In this group, antibody concentrations started to increase 1 week after inoculation and reached a maximum about 1 week later. Thereafter antibody titres slowly declined. Although concentrations were still slightly raised 1 year later, this did not always prevent reinfection when volunteers were then challenged with the homologous virus. However, the period of virus shedding was shorter than before and none developed a cold. All of the uninfected group were infected on re-challenge although they also appeared to show some resistance to disease and in the extent of infection. These results are discussed with reference to natural infections with coronavirus and with other infections, such as rhinovirus infections. © 1990, Cambridge University Press. All rights reserved.","1990","2021-11-01 22:17:10","2021-11-12 20:01:11","","435-446","","2","105","","","","","","","","","","","","","Scopus","","","","","","/Users/jodi/Zotero/storage/9DCE6BNN/Callow et al. - 1990 - The time course of the immune response to experime.pdf; /Users/jodi/Zotero/storage/GMK6BARR/Callow et al. - 1990 - The time course of the immune response to experime.pdf; ; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2271881/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2271881/","article; human; normal human; Human; immune response; Kinetics; Enzyme-Linked Immunosorbent Assay; coronavirus; Antibodies, Viral; Lymphocytes; Leukocyte Count; Immunoglobulin G; Coronaviridae; Coronaviridae Infections; experimental infection; Immunoglobulin A; Immunoglobulin A, Secretory; Nasal Mucosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
